feature,importance,sd
doomscroller,0.08754827688651219,0.005056795150695596
number_of_night_wakeups,0.024858882947118233,0.018656796896010467
sleep_hours_per_night,0.01890225787284611,0.013598748909742326
weekly_sleep_debt_hours,0.01788472964943554,0.01055395904384841
sleep_latency_minutes,0.008381610219845514,0.009381893454443435
phone_checks_per_night,0.007040998217468805,0.0048934063982238075
occupation_status,0.005614973262032058,0.005768805556150715
bedtime_screen_time_minutes,0.005596405228758169,0.006845433289005093
number_of_news_apps_used,0.005243612596553768,0.007531727146643837
doomscroll_load_minutes,0.004905674390968498,0.006089606117182669
bedtime_routine_type,0.004719994058229332,0.004759583487491189
keeps_phone_in_bedroom,0.003015448603683893,0.005345692600486473
daytime_fatigue_score,0.0022021687462863925,0.003987721940410264
uses_sleep_tracking_app,0.0012589126559714614,0.002963458110516911
gender,0.001214349376114074,0.00552851895451632
country_region,0.0011140819964349264,0.007291418663125142
primary_device_used_at_night,0.0010286690433749164,0.0025341821601424577
uses_night_mode,0.0005236185383244218,0.0045424924037350866
total_daily_screen_time_hours,0.0004790552584670177,0.00888041616451449
days_since_last_digital_detox,0.0002450980392156854,0.007387813275693782
consumes_negative_news_content,-0.0007352941176470617,0.0045293610658723804
stress_score,-0.0008689839572192437,0.004879987188790787
age_bucket,-0.0008912655971479638,0.006004191120158138
doomscroll_sessions_per_night,-0.0012997623291741089,0.007394246876206228
avg_doomscroll_session_minutes,-0.0014148841354723774,0.009178345443453077
exercise_minutes_per_day,-0.0016451277480689335,0.010038900218169278
caffeine_intake_mg_per_day,-0.002369281045751645,0.005426221095551097
anxiety_score,-0.0028891859774212796,0.008313790815125665
