feature,importance,sd
doomscroller,0.07082961972667855,0.00883014609088263
number_of_night_wakeups,0.04005867498514558,0.021322669871061562
sleep_hours_per_night,0.03142453951277482,0.02200850929670436
weekly_sleep_debt_hours,0.022630718954248383,0.021194937520906797
sleep_latency_minutes,0.0196969696969697,0.010364764655688323
doomscroll_load_minutes,0.014965834818776011,0.016473426850057257
days_since_last_digital_detox,0.01459076054664291,0.016951853337024276
phone_checks_per_night,0.012607694592988708,0.01965441539527676
bedtime_screen_time_minutes,0.009484551396316113,0.013819269959814163
caffeine_intake_mg_per_day,0.009035204991087332,0.011480178767848721
exercise_minutes_per_day,0.008181075460487224,0.012729589273020408
doomscroll_sessions_per_night,0.00773172905525849,0.01235399559748559
occupation_status,0.005964052287581689,0.012397759992192146
bedtime_routine_type,0.004292929292929279,0.011391656538508411
country_region,0.004133244206773601,0.012712813044229644
daytime_fatigue_score,0.0038807189542483687,0.008722075462753763
stress_score,0.003802733214497922,0.008447123849585916
keeps_phone_in_bedroom,0.002243018419488982,0.004864050751911524
total_daily_screen_time_hours,0.0009246880570410009,0.019786155501446672
consumes_negative_news_content,-0.00016711229946525242,0.002584334064437777
age_bucket,-0.00028594771241829964,0.005142609146134734
number_of_news_apps_used,-0.00031937017231135065,0.011477408288855729
uses_sleep_tracking_app,-0.0003639334521687465,0.006356460219545653
uses_night_mode,-0.0007427213309566388,0.005279424447439455
anxiety_score,-0.0009506833036244694,0.0180731793298848
gender,-0.0014557338086749888,0.006639920390902154
primary_device_used_at_night,-0.0015745692216280528,0.00530046812765779
avg_doomscroll_session_minutes,-0.001652554961378494,0.009193925628811722
