feature,importance,sd
doomscroller,0.04722347064009268,0.024482316603364383
number_of_night_wakeups,0.02330308320801144,0.020908607676190155
sleep_latency_minutes,0.014026032393562805,0.010666913926593356
gender,0.0025938186029628107,0.0036524441989955465
sleep_hours_per_night,0.0019563188190351243,0.01566526797860556
occupation_status,0.0012631876141582453,0.00760765596448968
phone_checks_per_night,0.00042076483840671196,0.009398774500416866
keeps_phone_in_bedroom,-0.0005268131348924509,0.006444180624600482
uses_night_mode,-0.0015686274509803867,0.0019211684257122899
consumes_negative_news_content,-0.0016235674404936618,0.002955280989248858
anxiety_score,-0.0018810104118050063,0.011081957322696973
uses_sleep_tracking_app,-0.003653638946028037,0.0028238787811270187
bedtime_routine_type,-0.0062287312809343465,0.007793951032564601
doomscroll_sessions_per_night,-0.006387414795480323,0.008000357626084831
weekly_sleep_debt_hours,-0.0071378771902531005,0.011348133788321346
primary_device_used_at_night,-0.008677925475215042,0.003867168556467162
days_since_last_digital_detox,-0.00940188299827715,0.012289787101023448
total_daily_screen_time_hours,-0.0094978191100125,0.008071442074032133
avg_doomscroll_session_minutes,-0.00950741272118601,0.009371741282166548
number_of_news_apps_used,-0.009790179368838298,0.00908627733421501
doomscroll_load_minutes,-0.011457969611588365,0.01024331913137956
caffeine_intake_mg_per_day,-0.013986217466710426,0.008109933427800836
stress_score,-0.015525315033447978,0.007928422494473748
daytime_fatigue_score,-0.017485436725380693,0.007782533787326673
country_region,-0.01899071177104398,0.008292433088309185
age,-0.019318363842745427,0.010644940492035689
bedtime_screen_time_minutes,-0.020613904686176555,0.013517597605573039
exercise_minutes_per_day,-0.021276699336802006,0.009203167356995268
