model,fold,balanced_accuracy,best_inner_score
Logistic Regression,1,0.6377537681739363,0.5925430778371955
Logistic Regression,2,0.6370788315326129,0.5821449792038028
Logistic Regression,3,0.5050526877417633,0.6024955436720143
Logistic Regression,4,0.5468374016273175,0.6038177070222724
Logistic Regression,5,0.5858129918634121,0.5784768283451339
Random Forest,1,0.6651007069494465,0.5670429788076846
Random Forest,2,0.6449486461251167,0.589176074470192
Random Forest,3,0.5378684807256237,0.6071994454347395
Random Forest,4,0.5796318527410964,0.5934143328787753
Random Forest,5,0.5867066826730692,0.5683164687554504
Extra Trees,1,0.6512231559290383,0.5765993265993266
Extra Trees,2,0.6312231559290383,0.5937314319667261
Extra Trees,3,0.5178578097905829,0.5983858189740543
Extra Trees,4,0.5595224756569294,0.6033751326552029
Extra Trees,5,0.6064559156996131,0.5983505958484009
SVM (RBF),1,0.6643003868213953,0.5599623687858982
SVM (RBF),2,0.6113538748832866,0.5774410774410774
SVM (RBF),3,0.5453461384553822,0.6206179441473559
SVM (RBF),4,0.5597679071628652,0.598704759942688
SVM (RBF),5,0.6057916499933307,0.5943062692843202
Histogram Gradient Boosting,1,0.5844044284380419,0.5510497128144186
Histogram Gradient Boosting,2,0.6001387221555289,0.5691721132897603
Histogram Gradient Boosting,3,0.5521328531412565,0.557635175282234
Histogram Gradient Boosting,4,0.5266960117380285,0.5602455295168202
Histogram Gradient Boosting,5,0.5543097238895558,0.5569530654693078
