feature,importance,sd
bedtime_screen_time_minutes,0.047373926845104934,0.01729761300056365
doomscroller,0.027243104153139467,0.016591718746370544
doomscroll_sessions_per_night,0.02181901257725508,0.013270798508545453
phone_checks_per_night,0.01855205252146307,0.012255096833020902
total_daily_screen_time_hours,0.009135944977514798,0.004149750891666267
age,0.00502008032128511,0.0022450481701804977
occupation_status,0.004220474713224098,0.0063409688177431915
anxiety_score,0.0030012264627371646,0.009454347394124067
consumes_negative_news_content,0.002409638554216853,0.002951192461184534
days_since_last_digital_detox,0.00231224298391165,0.005016466881409683
stress_score,0.0018072289156626398,0.0027605877680456706
exercise_minutes_per_day,0.001807228915662625,0.004159099433174296
primary_device_used_at_night,0.0016905947141860778,0.004959872004030344
avg_doomscroll_session_minutes,0.0012072241060048228,0.0056913394201292475
country_region,0.0008897866916768637,0.003572522865469495
bedtime_routine_type,0.0002032080417477859,0.004661050540023067
caffeine_intake_mg_per_day,-9.739557030519948e-05,0.004000053369634656
gender,-0.0012937979462761798,0.005074283568107695
uses_night_mode,-0.0016064257028112871,0.004648930483048305
uses_sleep_tracking_app,-0.0024096385542168976,0.0029511924611845884
number_of_news_apps_used,-0.003626481975807442,0.004549483119710626
keeps_phone_in_bedroom,-0.004197628838708182,0.005187800241111405
