attribute,group,n,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,sensitivity,specificity,brier,false_negatives,false_positives
gender,Female,112,0.7946428571428571,0.7933854907539117,0.8357041251778093,0.7757822804133907,0.7228915662650602,0.6666666666666666,0.7894736842105263,0.7972972972972973,0.14196327063108394,8,15
gender,Male,122,0.7786885245901639,0.7761816496756255,0.8310163731850478,0.6707507328075814,0.6896551724137931,0.625,0.7692307692307693,0.7831325301204819,0.1600964749254698,9,18
gender,Prefer not to say,16,0.6875,0.65,0.7333333333333333,0.7084656084656085,0.5454545454545454,0.6,0.5,0.8,0.20830953793649282,3,2
age_group,15–19,39,0.7692307692307693,0.7571428571428571,0.8942857142857142,0.7788727879202226,0.6896551724137931,0.6666666666666666,0.7142857142857143,0.8,0.14226760398342303,4,5
age_group,20–29,102,0.803921568627451,0.7849506578947368,0.8277138157894738,0.7945647229478814,0.7297297297297297,0.75,0.7105263157894737,0.859375,0.15917254560958216,11,9
age_group,30+,109,0.7614678899082569,0.7847394540942928,0.8110008271298593,0.6482958298241648,0.6666666666666666,0.5531914893617021,0.8387096774193549,0.7307692307692307,0.15578507019304325,5,21
occupation_status,Employed Full-time,97,0.8041237113402062,0.8098621877691645,0.8613264427217915,0.8314442002381417,0.7956989247311828,0.74,0.8604651162790697,0.7592592592592593,0.15660845148953445,6,13
occupation_status,Employed Part-time,32,0.8125,0.8205128205128205,0.8269230769230769,0.6283068783068784,0.625,0.5,0.8333333333333334,0.8076923076923077,0.1269436722552571,1,5
occupation_status,Student,73,0.6986301369863014,0.6550802139037433,0.732620320855615,0.5407808004425341,0.5217391304347826,0.5,0.5454545454545454,0.7647058823529411,0.18156159714433642,10,12
occupation_status,Unemployed,39,0.8717948717948718,0.837962962962963,0.8518518518518519,0.8369798057298058,0.782608695652174,0.8181818181818182,0.75,0.9259259259259259,0.14038402953180978,3,2
country_region,Australia,17,0.7647058823529411,0.7569444444444444,0.7777777777777778,0.8571428571428572,0.7142857142857143,0.8333333333333334,0.625,0.8888888888888888,0.2008401168267443,3,1
country_region,Germany,16,0.6875,0.5512820512820513,0.7179487179487178,0.5396825396825397,0.2857142857142857,0.25,0.3333333333333333,0.7692307692307693,0.1305089135050062,2,3
country_region,India,77,0.8181818181818182,0.8344444444444444,0.8866666666666667,0.7931149379493303,0.7741935483870968,0.6857142857142857,0.8888888888888888,0.78,0.14264443434526725,3,11
country_region,Nigeria,18,0.7222222222222222,0.7207792207792207,0.7792207792207793,0.6518707482993196,0.6666666666666666,0.625,0.7142857142857143,0.7272727272727273,0.19716372079969963,2,3
country_region,Philippines,25,0.72,0.6746031746031746,0.7698412698412699,0.6247575953458306,0.5333333333333333,0.5,0.5714285714285714,0.7777777777777778,0.16652759355942803,3,4
country_region,United Kingdom,24,0.8333333333333334,0.8125,0.8125,0.7646903820816864,0.75,0.75,0.75,0.875,0.15077898025055517,2,2
country_region,United States,38,0.7894736842105263,0.8237179487179487,0.8108974358974359,0.6499899338134631,0.7333333333333333,0.6111111111111112,0.9166666666666666,0.7307692307692307,0.15122415583384918,1,7
